"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","696","should display error message when username is missing","chromium","Tue Oct 21 18:17:02 UTC 2025","passed","Tue Oct 21 18:17:03 UTC 2025","Login Flow Tests","","",""
"","2848","should maintain cart state when continuing shopping","chromium","Tue Oct 21 18:16:58 UTC 2025","passed","Tue Oct 21 18:17:01 UTC 2025","Cart Management Flow Tests","","",""
"","2844","should remove items from inventory page","chromium","Tue Oct 21 18:16:58 UTC 2025","passed","Tue Oct 21 18:17:01 UTC 2025","Cart Management Flow Tests","","",""
"","1075","should display error message for locked out user","chromium","Tue Oct 21 18:17:01 UTC 2025","passed","Tue Oct 21 18:17:02 UTC 2025","Login Flow Tests","","",""
"","1167","should complete purchase with multiple items","chromium","Tue Oct 21 18:17:03 UTC 2025","passed","Tue Oct 21 18:17:04 UTC 2025","End-to-End Purchase Flow Tests","","",""
"","16863","should display correct item count in cart badge","chromium","Tue Oct 21 18:17:01 UTC 2025","passed","Tue Oct 21 18:17:18 UTC 2025","Cart Management Flow Tests","","",""
"","813","should display error message when password is missing","chromium","Tue Oct 21 18:17:02 UTC 2025","passed","Tue Oct 21 18:17:03 UTC 2025","Login Flow Tests","","",""
"","1139","should complete purchase with single item","chromium","Tue Oct 21 18:17:03 UTC 2025","passed","Tue Oct 21 18:17:04 UTC 2025","End-to-End Purchase Flow Tests","","",""
"","1180","should successfully login with valid standard user credentials","chromium","Tue Oct 21 18:17:01 UTC 2025","passed","Tue Oct 21 18:17:02 UTC 2025","Login Flow Tests","","",""
"","1438","should complete full purchase flow successfully","chromium","Tue Oct 21 18:17:02 UTC 2025","passed","Tue Oct 21 18:17:04 UTC 2025","End-to-End Purchase Flow Tests","","",""
"","2851","should remove items from cart successfully","chromium","Tue Oct 21 18:16:58 UTC 2025","passed","Tue Oct 21 18:17:01 UTC 2025","Cart Management Flow Tests","","",""
"","1076","should display error message for invalid credentials","chromium","Tue Oct 21 18:17:01 UTC 2025","passed","Tue Oct 21 18:17:02 UTC 2025","Login Flow Tests","","",""
"","2687","should add items to cart successfully","chromium","Tue Oct 21 18:16:58 UTC 2025","passed","Tue Oct 21 18:17:01 UTC 2025","Cart Management Flow Tests","","",""
